id_item,id_venda,id_produto,nome_produto,categoria,quantidade,preco_unitario,custo_unitario,subtotal,lucro_bruto,data_venda,ano,mes,ano_mes,dia_semana,regiao,canal,metodo_pagamento,status,valor_bruto,desconto,valor_liquido,custo_total,lucro_liquido
1,1,1,Notebook Dell Inspiron 15,Eletronicos & TI,1,3899.0,2600.0,3899.0,1299.0,2023-01-01,2023,1,2023-01,Sunday,Sao Paulo,E-commerce Proprio,Boleto Bancario,Concluido,3899.0,277.99,3621.01,2600.0,1021.01
2,2,2,Monitor UltraWide 29 LG,Eletronicos & TI,1,1250.0,820.0,1250.0,430.0,2023-01-01,2023,1,2023-01,Sunday,Rio de Janeiro,E-commerce Proprio,PIX,Concluido,1250.0,144.94,1105.06,820.0,285.06
3,3,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-01,2023,1,2023-01,Sunday,Sao Paulo,E-commerce Proprio,Cartao de Credito,Concluido,429.0,0.0,429.0,230.0,199.0
4,4,5,Headset Gamer 7.1,Audio & Video,2,429.0,230.0,858.0,398.0,2023-01-01,2023,1,2023-01,Sunday,Rio de Janeiro,E-commerce Proprio,PIX,Concluido,858.0,0.0,858.0,460.0,398.0
5,5,2,Monitor UltraWide 29 LG,Eletronicos & TI,1,1250.0,820.0,1250.0,430.0,2023-01-01,2023,1,2023-01,Sunday,Minas Gerais,App Mobile,PIX,Concluido,1250.0,0.0,1250.0,820.0,430.0
6,6,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-01,2023,1,2023-01,Sunday,Minas Gerais,App Mobile,PIX,Concluido,2689.0,0.0,2689.0,1030.0,1659.0
7,6,6,Cadeira Ergonomica Pro,Moveis & Escritorio,1,1199.0,680.0,1199.0,519.0,2023-01-01,2023,1,2023-01,Sunday,Minas Gerais,App Mobile,PIX,Concluido,2689.0,0.0,2689.0,1030.0,1659.0
8,7,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,1,489.0,310.0,489.0,179.0,2023-01-01,2023,1,2023-01,Sunday,Parana,E-commerce Proprio,Cartao de Credito,Concluido,489.0,0.0,489.0,310.0,179.0
9,8,1,Notebook Dell Inspiron 15,Eletronicos & TI,1,3899.0,2600.0,3899.0,1299.0,2023-01-01,2023,1,2023-01,Sunday,Sao Paulo,E-commerce Proprio,Cartao de Credito,Concluido,3899.0,0.0,3899.0,2600.0,1299.0
10,9,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-01,2023,1,2023-01,Sunday,Sao Paulo,E-commerce Proprio,Cartao de Credito,Concluido,429.0,0.0,429.0,230.0,199.0
